rocket,gap_start_tg_s,gap_end_tg_s,gap_duration_s,launch_t0_utc,source_file
397,553.850000,554.000000,0.150000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,554.000000,554.200000,0.200000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,554.200000,554.600000,0.400000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,554.600000,554.850000,0.250000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,554.950000,555.700000,0.750000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,555.750000,556.200000,0.450000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,556.350000,556.500000,0.150000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,556.500000,556.600000,0.100000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,556.600000,556.700000,0.100000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
397,556.750000,558.250000,1.500000,101900.6,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36397_GPS_Time_Export_01.csv
398,-162.450000,-162.350000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,-158.700000,-157.250000,1.450000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,-132.900000,-130.800000,2.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,67.500000,67.650000,0.150000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,67.950000,68.050000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,68.150000,68.250000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,68.500000,68.700000,0.200000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,68.750000,68.900000,0.150000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,69.000000,69.100000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,69.650000,69.750000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,69.850000,69.950000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,70.100000,70.250000,0.150000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,70.300000,70.400000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,70.500000,70.600000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,70.750000,70.850000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,70.950000,71.100000,0.150000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,71.150000,71.300000,0.150000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,71.600000,71.700000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,72.250000,72.350000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,72.450000,72.600000,0.150000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,73.050000,73.250000,0.200000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,73.300000,73.400000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,73.500000,73.850000,0.350000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,73.900000,74.050000,0.150000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,74.400000,74.700000,0.300000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,79.950000,80.050000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,80.750000,80.850000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,81.200000,81.500000,0.300000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,81.850000,81.950000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,82.000000,82.400000,0.400000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,82.450000,82.600000,0.150000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,82.650000,83.050000,0.400000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,83.050000,83.250000,0.200000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,83.300000,83.450000,0.150000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,83.500000,83.750000,0.250000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,83.750000,83.900000,0.150000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,84.000000,84.100000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,84.150000,84.400000,0.250000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,84.450000,84.750000,0.300000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,86.050000,86.250000,0.200000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,86.700000,86.900000,0.200000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,87.100000,87.200000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,87.350000,87.500000,0.150000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,87.500000,87.800000,0.300000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,88.450000,88.650000,0.200000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,88.650000,88.750000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,574.550000,574.650000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,575.150000,575.250000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,575.400000,575.550000,0.150000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,575.700000,575.850000,0.150000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,575.850000,575.950000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,575.950000,576.150000,0.200000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,576.250000,576.450000,0.200000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,576.450000,576.700000,0.250000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,577.150000,577.300000,0.150000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,577.300000,577.450000,0.150000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,577.600000,577.750000,0.150000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,577.750000,577.850000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,577.900000,578.000000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,578.350000,578.450000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,578.450000,578.600000,0.150000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,578.650000,578.750000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,580.000000,580.200000,0.200000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,581.000000,581.100000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,581.150000,581.300000,0.150000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,581.600000,581.700000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,582.350000,582.450000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,583.600000,583.700000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,584.750000,584.900000,0.150000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,586.250000,586.350000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,587.000000,587.100000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,587.100000,587.250000,0.150000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,587.350000,587.450000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,587.450000,587.550000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,587.550000,587.700000,0.150000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,587.800000,587.900000,0.100000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,588.000000,588.250000,0.250000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
398,588.300000,588.450000,0.150000,101930.9,/Users/anniepflaum/lab317/asi_mapping/trajectories/GNEISS/36398_GPS_Time_Export_00.csv
