36.398 UE/Lynch
NSROC Attitude Solution
T0: 02/10/2026 10:19:30.4242 UTC

    Time,     YawI,   PitchI,    RollI, RollRateI,    AoA_T,   AngleB,      a11,      a12,      a13,      a21,      a22,      a23,      a31,      a32,      a33,     X_Az,     X_El,     Y_Az,     Y_El,     Z_Az,     Z_El,     F_Az,     F_El,    Latgd,     Long,      Alt
   (sec),    (deg),    (deg),    (deg),     (Hz),    (deg),    (deg),      ( - ),      ( - ),      ( - ),      ( - ),      ( - ),      ( - ),      ( - ),      ( - ),      ( - ),    (deg),    (deg),    (deg),    (deg),    (deg),    (deg),    (deg),    (deg),    (deg),    (deg),      (m)

0.00042603,   -0.000,    0.000,    0.000,   -0.003,    1.519,  155.894,   0.066230,   0.933734,   0.351788,   0.184089,  -0.357945,   0.915416,   0.980676,   0.004132,  -0.195597,    19.79,    78.72,   110.97,     0.24,    21.02,   -11.28,    19.94,    77.20,    65.130173,  -147.482937,     223.80
0.01042607,   -0.000,    0.005,   -0.013,   -0.004,    0.796,  155.899,   0.066196,   0.933654,   0.352007,   0.184018,  -0.358153,   0.915349,   0.980691,   0.004183,  -0.195517,    19.79,    78.72,   110.99,     0.24,    21.03,   -11.27,    19.80,    77.93,    65.130173,  -147.482937,     223.84
0.02042512,   -0.003,    0.003,   -0.047,   -0.005,    0.070,  155.897,   0.066164,   0.933449,   0.352555,   0.184062,  -0.358684,   0.915132,   0.980685,   0.004343,  -0.195545,    19.77,    78.72,   111.02,     0.25,    21.07,   -11.28,    19.66,    78.65,    65.130173,  -147.482937,     223.88
0.03042616,   -0.004,    0.000,   -0.060,   -0.004,    0.665,  155.894,   0.066161,   0.933367,   0.352772,   0.184107,  -0.358896,   0.915040,   0.980677,   0.004408,  -0.195585,    19.77,    78.72,   111.03,     0.25,    21.08,   -11.28,    19.52,    79.38,    65.130174,  -147.482937,     223.92
0.04042620,   -0.003,    0.004,   -0.068,   -0.004,    1.389,  155.898,   0.066152,   0.933321,   0.352897,   0.184036,  -0.359016,   0.915007,   0.980691,   0.004416,  -0.195515,    19.77,    78.72,   111.04,     0.25,    21.09,   -11.27,    19.38,    80.11,    65.130174,  -147.482937,     223.96
0.05042725,   -0.006,    0.009,   -0.078,   -0.003,    2.070,  155.903,   0.066077,   0.933257,   0.353079,   0.183985,  -0.359181,   0.914953,   0.980706,   0.004504,  -0.195439,    19.76,    78.73,   111.05,     0.26,    21.10,   -11.27,    19.24,    80.79,    65.130174,  -147.482937,     224.00
0.06042629,   -0.008,    0.007,   -0.112,   -0.005,    1.798,  155.901,   0.066056,   0.933051,   0.353626,   0.184027,  -0.359713,   0.914735,   0.980699,   0.004653,  -0.195468,    19.75,    78.72,   111.08,     0.27,    21.14,   -11.27,    19.21,    80.52,    65.130174,  -147.482937,     224.06
0.07042634,   -0.006,    0.003,   -0.156,   -0.012,    1.528,  155.897,   0.066108,   0.932778,   0.354338,   0.184073,  -0.360420,   0.914448,   0.980687,   0.004771,  -0.195526,    19.76,    78.72,   111.13,     0.27,    21.18,   -11.28,    19.18,    80.25,    65.130174,  -147.482937,     224.12
